id,urls,price,title,details,genre
83,https://store.steampowered.com/app/629730/Blade_and_Sorcery/?snr=1_7_7_topsellers_150_4,$19.99 ,Blade and Sorcery,"['Single-player', 'HTC Vive', 'Oculus Rift', 'Windows Mixed Reality', 'Tracked Motion Controllers', 'Standing', 'Room-Scale']","['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Early Access']"
84,https://store.steampowered.com/bundle/3718/FINAL_FANTASY_XIV_Online_Complete_Edition_NA/?snr=1_7_7_topsellers_150_4,$59.98 ,FINAL FANTASY XIV ONLINE COMPLETE EDITION (NA),"['Single-player', 'Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Partial Controller Support']","['Massively Multiplayer', 'RPG']"
85,https://store.steampowered.com/sub/54029/?snr=1_7_7_topsellers_150_4,$14.99 ,CSGO: Prime Status Upgrade,"['Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats']","['Action', 'Free to Play']"
86,https://store.steampowered.com/app/393380/Squad/?snr=1_7_7_topsellers_150_4,$39.99 ,Squad,"['Multi-player', 'Online Multi-Player', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Valve Anti-Cheat enabled']","['Action', 'Indie', 'Strategy', 'Early Access']"
87,https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_topsellers_150_4,$24.99 ,7 Days to Die,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Includes level editor']","['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access']"
88,https://store.steampowered.com/sub/124923/?snr=1_7_7_topsellers_150_4,$49.99 ,THE WITCHER 3: WILD HUNT - GAME OF THE YEAR EDITION,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",['RPG']
89,https://store.steampowered.com/app/1016870/FINAL_FANTASY_XIV_Shadowbringers/?snr=1_7_7_topsellers_150_4,$39.99 ,FINAL FANTASY XIV: Shadowbringers,"['Single-player', 'Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Partial Controller Support']","['Massively Multiplayer', 'RPG']"
90,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_topsellers_150_4,$14.99 ,Don't Starve Together,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop']","['Adventure', 'Indie', 'Simulation']"
91,https://store.steampowered.com/sub/32848/?snr=1_7_7_topsellers_150_4,$39.99 ,BORDERLANDS 2 GAME OF THE YEAR,"['Single-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['Action', 'RPG']"
92,https://store.steampowered.com/app/244850/Space_Engineers/?snr=1_7_7_topsellers_150_4,$19.99 ,Space Engineers,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Steam Achievements', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor']","['Action', 'Indie', 'Simulation', 'Strategy']"
93,https://store.steampowered.com/app/477160/Human_Fall_Flat/?snr=1_7_7_topsellers_150_4,$14.99 ,Human: Fall Flat,"['Single-player', 'Online Multi-Player', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats']","['Adventure', 'Indie']"
94,https://store.steampowered.com/app/944290/Stellaris_MegaCorp/?snr=1_7_7_topsellers_150_4,$19.99 ,Stellaris: MegaCorp,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']","['Simulation', 'Strategy']"
95,https://store.steampowered.com/app/726830/Vacation_Simulator/?snr=1_7_7_topsellers_150_4,$29.99 ,Vacation Simulator,"['Single-player', 'Steam Achievements', 'HTC Vive', 'Oculus Rift', 'Windows Mixed Reality', 'Tracked Motion Controllers', 'Room-Scale']","['Action', 'Adventure', 'Simulation']"
96,https://store.steampowered.com/app/230290/Universe_Sandbox/?snr=1_7_7_topsellers_150_4,$24.99 ,Universe Sandbox ,"['Single-player', 'Partial Controller Support', 'HTC Vive', 'Oculus Rift', 'Windows Mixed Reality', 'Tracked Motion Controllers', 'Seated', 'Standing', 'Room-Scale']","['Casual', 'Indie', 'Simulation', 'Early Access']"
97,https://store.steampowered.com/bundle/1399/Dead_Rising_Triple_Pack/?snr=1_7_7_topsellers_150_4,$14.91 ,Dead Rising Triple Pack,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']","['Action', 'Adventure']"
98,https://store.steampowered.com/app/264710/Subnautica/?snr=1_7_7_topsellers_150_4,$24.99 ,Subnautica,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'HTC Vive', 'Oculus Rift', 'Gamepad', 'Keyboard / Mouse', 'Seated', 'Standing']","['Adventure', 'Indie']"
99,https://store.steampowered.com/app/704270/Generation_Zero/?snr=1_7_7_topsellers_150_4,$34.99 ,Generation Zero,"['Single-player', 'Online Multi-Player', 'Online Co-op', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']","['Action', 'Adventure']"
100,https://store.steampowered.com/app/550/Left_4_Dead_2/?snr=1_7_7_topsellers_150_4,$9.99 ,Left 4 Dead 2,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Commentary available']",['Action']
